item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
3,3,P112,pad,215.29,1019.015139,1908.688407,390,æ,AE,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
6,3,P112,bot,212.6,817.8340786,1355.743614,360,ɑ,AA,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
31,3,P112,pud,230.12,811.1627971,1608.551647,360,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
20,3,P112,pit,230.54,536.5063891,2458.112003,320,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
19,3,P112,pid,233.87,528.8041513,2355.519975,390,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
25,3,P112,booed,225.34,424.6787762,1969.283851,330,u,UW,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
34,3,P112,caught,194.33,663.8764498,1176.706163,360,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
21,3,P112,boat,217,441.5211246,1236.892705,420,o,OW,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
32,3,P112,putt,225.36,888.2329039,1554.283275,360,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
17,3,P112,bid,222.21,555.119044,2355.669505,330,ɪ,IH,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
4,3,P112,pat,213.65,910.5663186,1974.677711,360,æ,AE,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
